Period (s),CommandedVelocity (mm/s),PositionError (mm),CommandedPosition (mm),CommandedAcceleration (mm/s2)
0.099840,4.989125,0.000515,11.418010,0.000000
0.100352,4.989125,0.000515,11.420565,0.000000
0.100864,4.989125,0.000490,11.423120,0.000000
0.101376,4.989125,0.000495,11.425675,0.000000
0.101888,4.989125,0.000505,11.428230,0.000000
0.102400,4.989125,0.000495,11.430785,0.000000
0.102912,4.989125,0.000480,11.433340,0.000000
0.103424,4.989125,0.000490,11.435895,0.000000
0.103936,4.989125,0.000510,11.438445,0.000000
0.104448,4.989125,0.000485,11.441000,0.000000
0.104960,4.989125,0.000425,11.443555,0.000000
0.105472,4.989125,0.000415,11.446110,0.000000
0.105984,4.989125,0.000410,11.448665,0.000000
0.106496,4.989125,0.000390,11.451220,0.000000
0.107008,4.989125,0.000390,11.453775,0.000000
0.107520,4.989125,0.000360,11.456330,0.000000
0.108032,4.989125,0.000335,11.458885,0.000000
0.108544,4.989125,0.000280,11.461435,0.000000
0.109056,4.989125,0.000250,11.463990,0.000000
0.109568,4.989125,0.000250,11.466545,0.000000
0.110080,4.989125,0.000240,11.469100,0.000000
0.110592,4.989125,0.000190,11.471655,0.000000
0.111104,4.989125,0.000155,11.474210,0.000000
0.111616,4.989125,0.000150,11.476765,0.000000
0.112128,4.989125,0.000115,11.479320,0.000000
0.112640,4.989125,0.000070,11.481875,0.000000
0.113152,4.989125,0.000040,11.484425,0.000000
0.113664,4.989125,0.000005,11.486980,0.000000
0.114176,4.989125,-0.000020,11.489535,0.000000
0.114688,4.989125,-0.000065,11.492090,0.000000
0.115200,4.989125,-0.000080,11.494645,0.000000
0.115712,4.989125,-0.000080,11.497200,0.000000
0.116224,4.989125,-0.000100,11.499755,0.000000
0.116736,4.989125,-0.000145,11.502310,0.000000
0.117248,4.989125,-0.000155,11.504865,0.000000
0.117760,4.989125,-0.000160,11.507415,0.000000
0.118272,4.989125,-0.000175,11.509970,0.000000
0.118784,4.989125,-0.000185,11.512525,0.000000
0.119296,4.989125,-0.000155,11.515080,0.000000
0.119808,4.989125,-0.000110,11.517635,0.000000
0.120320,4.989125,-0.000115,11.520190,0.000000
0.120832,4.989125,-0.000145,11.522745,0.000000
0.121344,4.989125,-0.000115,11.525300,0.000000
0.121856,4.989125,-0.000090,11.527855,0.000000
0.122368,4.989125,-0.000075,11.530405,0.000000
0.122880,4.989125,-0.000045,11.532960,0.000000
0.123392,4.989125,-0.000040,11.535515,0.000000
0.123904,4.989125,0.000010,11.538070,0.000000
0.124416,4.989125,0.000015,11.540625,0.000000
0.124928,4.989125,0.000020,11.543180,0.000000
0.125440,4.989125,0.000075,11.545735,0.000000
0.125952,4.989125,0.000120,11.548290,0.000000
0.126464,4.989125,0.000120,11.550840,0.000000
0.126976,4.989125,0.000130,11.553395,0.000000
0.127488,4.989125,0.000165,11.555950,0.000000
0.128000,4.989125,0.000220,11.558505,0.000000
0.128512,4.989125,0.000230,11.561060,0.000000
0.129024,4.989125,0.000255,11.563615,0.000000
0.129536,4.989125,0.000295,11.566170,0.000000
