Period (s),ActualVelocity (mm/s)
0.217600,2.441406
0.218112,2.441406
0.218624,2.246094
0.219136,2.148438
0.219648,2.050781
0.220160,1.953125
0.220672,1.757812
0.221184,1.757812
0.221696,1.562500
0.222208,1.367187
0.222720,1.269531
0.223232,1.171875
0.223744,1.269531
0.224256,1.074219
0.224768,0.976562
0.225280,0.878906
0.225792,0.683594
0.226304,0.585938
0.226816,0.488281
0.227328,0.585938
0.227840,0.390625
0.228352,0.390625
0.228864,0.292969
0.229376,0.292969
0.229888,0.195312
0.230400,0.195312
0.230912,0.195312
0.231424,0.097656
0.231936,0.097656
0.232448,0.195312
0.232960,0.097656
0.233472,0.097656
0.233984,0.097656
0.234496,0.097656
0.235008,0.000000
0.235520,0.000000
0.236032,0.000000
0.236544,0.000000
0.237056,0.000000
0.237568,0.000000
0.238080,0.000000
0.238592,0.000000
0.239104,0.000000
0.239616,0.000000
0.240128,0.000000
0.240640,-0.097656
0.241152,0.000000
0.241664,0.000000
0.242176,0.000000
0.242688,0.000000
0.243200,0.000000
0.243712,0.000000
0.244224,0.000000
0.244736,-0.097656
0.245248,0.000000
0.245760,0.000000
0.246272,0.000000
0.246784,0.000000
0.247296,0.000000
0.247808,0.000000
0.248320,0.000000
0.248832,0.000000
0.249344,0.000000
0.249856,0.000000
0.250368,0.000000
0.250880,0.000000
0.251392,0.000000
0.251904,0.000000
0.252416,0.000000
0.252928,0.000000
0.253440,0.000000
0.253952,0.000000
0.254464,0.000000
0.254976,0.000000
0.255488,0.000000
0.256000,0.000000
0.256512,0.000000
0.257024,0.000000
0.257536,0.000000
0.258048,0.000000
0.258560,0.000000
0.259072,0.000000
0.259584,0.000000
0.260096,0.097656
0.260608,0.000000
0.261120,0.000000
0.261632,0.000000
0.262144,0.000000
0.262656,0.000000
0.263168,0.097656
0.263680,0.000000
0.264192,0.000000
0.264704,0.000000
0.265216,0.000000
0.265728,0.000000
0.266240,0.000000
0.266752,0.000000
0.267264,0.000000
0.267776,0.000000
0.268288,0.000000
0.268800,0.000000
0.269312,0.000000
0.269824,0.000000
0.270336,0.000000
0.270848,0.000000
0.271360,0.000000
0.271872,0.000000
0.272384,0.000000
0.272896,0.000000
0.273408,0.000000
0.273920,-0.097656
0.274432,0.000000
0.274944,0.000000
0.275456,0.000000
0.275968,0.000000
0.276480,0.000000
0.276992,0.000000
0.277504,0.000000
0.278016,0.000000
0.278528,0.000000
0.279040,0.000000
0.279552,-0.097656
0.280064,0.000000
0.280576,0.000000
0.281088,0.000000
0.281600,0.000000
0.282112,0.000000
0.282624,-0.097656
0.283136,0.000000
0.283648,0.000000
0.284160,0.000000
0.284672,0.000000
0.285184,0.000000
0.285696,0.000000
0.286208,0.000000
0.286720,0.000000
0.287232,0.000000
0.287744,0.000000
0.288256,0.000000
0.288768,0.000000
0.289280,0.000000
0.289792,0.000000
0.290304,0.000000
0.290816,0.000000
0.291328,0.000000
0.291840,0.000000
0.292352,0.000000
0.292864,0.000000
0.293376,0.000000
0.293888,0.000000
0.294400,0.000000
0.294912,0.000000
0.295424,0.000000
0.295936,0.000000
0.296448,0.097656
0.296960,0.000000
0.297472,0.000000
0.297984,0.000000
0.298496,0.000000
0.299008,0.097656
0.299520,0.000000
0.300032,0.097656
0.300544,0.000000
0.301056,0.000000
0.301568,0.000000
0.302080,0.000000
0.302592,0.000000
0.303104,0.000000
0.303616,0.000000
0.304128,0.000000
0.304640,0.000000
0.305152,0.000000
0.305664,0.000000
0.306176,0.000000
0.306688,-0.097656
0.307200,0.000000
0.307712,0.000000
0.308224,0.000000
0.308736,0.000000
0.309248,0.000000
0.309760,0.000000
0.310272,0.000000
0.310784,0.000000
0.311296,0.000000
0.311808,0.000000
0.312320,0.000000
0.312832,0.000000
0.313344,0.000000
0.313856,0.000000
0.314368,0.000000
0.314880,-0.097656
0.315392,0.000000
0.315904,0.000000
0.316416,0.000000
0.316928,0.000000
0.317440,0.000000
0.317952,0.000000
0.318464,0.000000
0.318976,0.000000
0.319488,0.000000
0.320000,0.000000
0.320512,0.000000
0.321024,0.000000
