Period (s),ActualPosition (mm),Gate,Trigger
0.067994,12.258865,0,0
0.068198,12.259910,0,0
0.068403,12.260950,0,0
0.068608,12.261985,0,0
0.068813,12.263010,0,0
0.069018,12.264030,0,0
0.069222,12.265050,0,0
0.069427,12.266070,0,0
0.069632,12.267095,0,0
0.069837,12.268120,0,0
0.070042,12.269150,0,0
0.070246,12.270190,0,0
0.070451,12.271225,0,0
0.070656,12.272255,0,0
0.070861,12.273285,0,0
0.071066,12.274315,0,0
0.071270,12.275340,0,0
0.071475,12.276355,0,0
0.071680,12.277375,0,0
0.071885,12.278420,0,0
0.072090,12.279470,0,0
0.072294,12.280515,0,0
0.072499,12.281550,0,0
0.072704,12.282595,0,0
0.072909,12.283625,0,0
0.073114,12.284655,0,0
0.073318,12.285695,0,0
0.073523,12.286735,0,0
0.073728,12.287760,0,0
0.073933,12.288805,0,0
0.074138,12.289855,0,0
0.074342,12.290895,0,0
0.074547,12.291940,0,0
0.074752,12.292980,0,0
0.074957,12.294005,0,0
0.075162,12.295040,0,0
0.075366,12.296075,0,0
0.075571,12.297100,0,0
0.075776,12.298140,0,0
0.075981,12.299180,0,0
0.076186,12.300235,0,0
0.076390,12.301290,0,0
0.076595,12.302340,0,0
0.076800,12.303380,0,0
0.077005,12.304420,0,0
0.077210,12.305455,0,0
0.077414,12.306480,0,0
0.077619,12.307520,0,0
0.077824,12.308555,0,0
0.078029,12.309580,0,0
0.078234,12.310615,0,0
0.078438,12.311650,0,0
0.078643,12.312675,0,0
0.078848,12.313690,0,0
0.079053,12.314720,0,0
0.079258,12.315750,0,0
0.079462,12.316755,0,0
0.079667,12.317770,0,0
0.079872,12.318800,0,0
0.080077,12.319840,0,0
0.080282,12.320890,0,0
0.080486,12.321955,0,0
0.080691,12.322995,0,0
0.080896,12.324005,0,0
0.081101,12.325030,0,0
0.081306,12.326055,0,0
0.081510,12.327070,0,0
0.081715,12.328090,0,0
0.081920,12.329115,0,0
