Period (s),PositionError (mm),CommandedVelocity (mm/s),ActivityStatusRegister,PhasingInitialized,AtMaximumVelocity,Tracking,CurrentProfileMode,AxisSettled,MotorOn,PositionCapture,InMotion,InPositiveLimit,InNegativeLimit,ProfileSegment
0.095232,-0.000320,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.095744,-0.000300,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.096256,-0.000280,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.096768,-0.000235,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.097280,-0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.097792,-0.000150,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.098304,-0.000170,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.098816,-0.000135,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.099328,-0.000105,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.099840,-0.000080,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.100352,-0.000040,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.100864,-0.000030,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.101376,0.000005,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.101888,-0.000020,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.102400,-0.000025,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.102912,-0.000005,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.103424,0.000015,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.103936,0.000010,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.104448,-0.000015,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.104960,-0.000035,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.105472,-0.000015,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.105984,-0.000070,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.106496,-0.000090,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.107008,-0.000090,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.107520,-0.000105,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.108032,-0.000150,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.108544,-0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.109056,-0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.109568,-0.000185,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.110080,-0.000215,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.110592,-0.000240,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.111104,-0.000240,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.111616,-0.000245,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.112128,-0.000255,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.112640,-0.000255,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.113152,-0.000250,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.113664,-0.000225,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.114176,-0.000270,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.114688,-0.000290,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.115200,-0.000280,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.115712,-0.000265,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.116224,-0.000250,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.116736,-0.000255,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.117248,-0.000255,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.117760,-0.000260,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.118272,-0.000285,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.118784,-0.000250,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.119296,-0.000220,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.119808,-0.000210,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.120320,-0.000210,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.120832,-0.000200,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.121344,-0.000165,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.121856,-0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.122368,-0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.122880,-0.000150,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.123392,-0.000140,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.123904,-0.000130,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.124416,-0.000130,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.124928,-0.000090,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.125440,-0.000055,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.125952,-0.000040,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.126464,-0.000050,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.126976,-0.000020,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.127488,0.000015,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.128000,0.000050,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.128512,0.000065,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.129024,0.000120,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.129536,0.000180,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.130048,0.000195,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.130560,0.000170,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.131072,0.000205,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.131584,0.000245,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.132096,0.000265,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.132608,0.000305,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.133120,0.000310,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.133632,0.000350,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.134144,0.000320,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.134656,0.000310,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.135168,0.000330,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.135680,0.000340,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.136192,0.000320,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.136704,0.000320,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.137216,0.000320,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.137728,0.000325,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.138240,0.000285,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.138752,0.000265,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.139264,0.000245,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.139776,0.000225,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.140288,0.000190,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.140800,0.000165,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.141312,0.000160,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.141824,0.000140,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.142336,0.000080,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.142848,0.000035,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
