Period (s),CommandedVelocity (mm/s),PositionError (mm),PhaseAActualCurrent (mA)
0.070144,4.989125,0.000255,-92.872000
0.070656,4.989125,0.000220,-94.094000
0.071168,4.989125,0.000205,-92.872000
0.071680,4.989125,0.000200,-105.092000
0.072192,4.989125,0.000155,-87.984000
0.072704,4.989125,0.000060,-74.542000
0.073216,4.989125,0.000020,-78.208000
0.073728,4.989125,0.000005,-87.984000
0.074240,4.989125,-0.000020,-84.318000
0.074752,4.989125,-0.000030,-87.984000
0.075264,4.989125,-0.000055,-81.874000
0.075776,4.989125,-0.000060,-80.652000
0.076288,4.989125,-0.000110,-78.208000
0.076800,4.989125,-0.000155,-78.208000
0.077312,4.989125,-0.000135,-90.428000
0.077824,4.989125,-0.000120,-81.874000
0.078336,4.989125,-0.000135,-84.318000
0.078848,4.989125,-0.000125,-86.762000
0.079360,4.989125,-0.000105,-81.874000
0.079872,4.989125,-0.000090,-92.872000
0.080384,4.989125,-0.000125,-78.208000
0.080896,4.989125,-0.000145,-78.208000
0.081408,4.989125,-0.000160,-87.984000
0.081920,4.989125,-0.000155,-81.874000
0.082432,4.989125,-0.000170,-78.208000
0.082944,4.989125,-0.000175,-78.208000
0.083456,4.989125,-0.000155,-86.762000
0.083968,4.989125,-0.000160,-84.318000
0.084480,4.989125,-0.000210,-75.764000
0.084992,4.989125,-0.000250,-68.432000
0.085504,4.989125,-0.000260,-72.098000
0.086016,4.989125,-0.000260,-78.208000
0.086528,4.989125,-0.000255,-84.318000
0.087040,4.989125,-0.000215,-81.874000
0.087552,4.989125,-0.000175,-86.762000
0.088064,4.989125,-0.000160,-84.318000
0.088576,4.989125,-0.000210,-72.098000
0.089088,4.989125,-0.000210,-69.654000
0.089600,4.989125,-0.000205,-81.874000
0.090112,4.989125,-0.000185,-80.652000
0.090624,4.989125,-0.000145,-86.762000
0.091136,4.989125,-0.000110,-92.872000
0.091648,4.989125,-0.000065,-90.428000
0.092160,4.989125,-0.000075,-84.318000
0.092672,4.989125,-0.000090,-75.764000
0.093184,4.989125,-0.000060,-87.984000
0.093696,4.989125,-0.000030,-86.762000
0.094208,4.989125,0.000000,-86.762000
0.094720,4.989125,0.000020,-90.428000
0.095232,4.989125,0.000055,-87.984000
0.095744,4.989125,0.000115,-96.538000
0.096256,4.989125,0.000105,-86.762000
0.096768,4.989125,0.000110,-90.428000
0.097280,4.989125,0.000125,-90.428000
0.097792,4.989125,0.000135,-87.984000
0.098304,4.989125,0.000135,-96.538000
0.098816,4.989125,0.000140,-90.428000
0.099328,4.989125,0.000175,-102.648000
0.099840,4.989125,0.000205,-96.538000
0.100352,4.989125,0.000190,-90.428000
0.100864,4.989125,0.000140,-84.318000
0.101376,4.989125,0.000120,-84.318000
0.101888,4.989125,0.000105,-90.428000
0.102400,4.989125,0.000095,-87.984000
0.102912,4.989125,0.000085,-84.318000
0.103424,4.989125,0.000100,-100.204000
0.103936,4.989125,0.000125,-87.984000
0.104448,4.989125,0.000065,-81.874000
0.104960,4.989125,-0.000005,-72.098000
0.105472,4.989125,-0.000020,-87.984000
0.105984,4.989125,-0.000030,-86.762000
0.106496,4.989125,-0.000030,-80.652000
0.107008,4.989125,-0.000040,-90.428000
0.107520,4.989125,-0.000035,-80.652000
0.108032,4.989125,-0.000060,-92.872000
0.108544,4.989125,-0.000110,-75.764000
0.109056,4.989125,-0.000125,-74.542000
0.109568,4.989125,-0.000120,-81.874000
0.110080,4.989125,-0.000110,-84.318000
0.110592,4.989125,-0.000120,-81.874000
0.111104,4.989125,-0.000100,-84.318000
0.111616,4.989125,-0.000060,-87.984000
0.112128,4.989125,-0.000060,-84.318000
0.112640,4.989125,-0.000070,-84.318000
0.113152,4.989125,-0.000050,-86.762000
0.113664,4.989125,-0.000055,-87.984000
0.114176,4.989125,-0.000035,-92.872000
0.114688,4.989125,-0.000020,-84.318000
0.115200,4.989125,0.000025,-92.872000
0.115712,4.989125,0.000070,-87.984000
0.116224,4.989125,0.000085,-92.872000
0.116736,4.989125,0.000055,-81.874000
0.117248,4.989125,0.000050,-84.318000
0.117760,4.989125,0.000060,-84.318000
0.118272,4.989125,0.000065,-90.428000
0.118784,4.989125,0.000070,-84.318000
0.119296,4.989125,0.000120,-100.204000
0.119808,4.989125,0.000165,-92.872000
